index,n,is_prime,factorization,phi_n,next_n
0,400000287233629,False,1399663 * 285783283,400000000050684,400000000050685
1,400000000050685,False,5 * 19 * 25373 * 165945151,303145944897600,303145944897601
2,303145944897601,False,13 * 12973 * 1797496249,279805455948672,279805455948673
3,279805455948673,False,17 * 19 * 18049 * 47995499,249472151396352,249472151396353
4,249472151396353,False,19 * 13130113231387,236342038164948,236342038164949
5,236342038164949,False,1427 * 3343 * 49542809,236105763743136,236105763743137
6,236105763743137,False,439949 * 536666213,236105226636976,236105226636977
7,236105226636977,False,124699 * 1893401123,236103333111156,236103333111157
8,236103333111157,False,109 * 2166085624873,233937247486176,233937247486177
9,233937247486177,False,3511 * 17053 * 3907219,233856843489360,233856843489361
10,233856843489361,False,59 * 3963675313379,229893168175924,229893168175925
11,229893168175925,False,5^2 * 9195726727037,183914534540720,183914534540721
12,183914534540721,False,3 * 61304844846907,122609689693812,122609689693813
13,122609689693813,False,7 * 5189 * 3375538631,105073766474640,105073766474641
14,105073766474641,False,379 * 277239489379,104796526984884,104796526984885
15,104796526984885,False,5 * 19 * 46327 * 23811629,79423018468416,79423018468417
16,79423018468417,False,13 * 29^2 * 6827 * 1064087,70775066894784,70775066894785
17,70775066894785,False,5 * 11 * 17 * 37 * 1319 * 1551037,47099875921920,47099875921921
18,47099875921921,False,31 * 1519350836191,45580525085700,45580525085701
19,45580525085701,False,59 * 772551272639,44807973813004,44807973813005
20,44807973813005,False,5 * 13 * 233 * 2958598469,32946952539648,32946952539649
21,32946952539649,False,867037 * 37999477,32946913673136,32946913673137
22,32946913673137,False,37 * 890457126301,32056456546800,32056456546801
23,32056456546801,False,73 * 727 * 604029631,31573836819360,31573836819361
24,31573836819361,False,4583 * 6889338167,31566947476612,31566947476613
25,31566947476613,False,417721 * 75569453,31566871489440,31566871489441
26,31566871489441,False,227 * 331 * 420124193,31332862239360,31332862239361
27,31332862239361,False,79 * 1619 * 244977461,30917135361840,30917135361841
28,30917135361841,False,73 * 423522402217,30493612959552,30493612959553
29,30493612959553,False,23 * 29 * 27191 * 1681349,28160964905920,28160964905921
30,28160964905921,False,227 * 2693 * 46066511,28026496151920,28026496151921
31,28026496151921,False,21407 * 1309221103,28025186909412,28025186909413
32,28025186909413,False,29 * 101 * 9568175797,26790892228800,26790892228801
33,26790892228801,False,101 * 265256358701,26525635870000,26525635870001
34,26525635870001,False,23 * 137 * 7151 * 1177201,25183604160000,25183604160001
35,25183604160001,False,7 * 3967 * 906896329,21580505021088,21580505021089
36,21580505021089,False,7 * 67 * 571 * 2963 * 27197,18182773477440,18182773477441
37,18182773477441,False,3935753 * 4619897,18182764921792,18182764921793
38,18182764921793,False,3727 * 4878659759,18177886258308,18177886258309
39,18177886258309,False,367 * 53881 * 919267,18127999061280,18127999061281
40,18127999061281,False,490559 * 36953759,18127961616964,18127961616965
41,18127961616965,False,5 * 27143 * 133573751,14501834890000,14501834890001
42,14501834890001,False,29 * 109 * 4587736441,13873314994560,13873314994561
43,13873314994561,False,11 * 137 * 641 * 3547 * 4049,12493902643200,12493902643201
44,12493902643201,False,7 * 41 * 97 * 448791359,10340152888320,10340152888321
45,10340152888321,False,29 * 47 * 73 * 379 * 274201,9611863833600,9611863833601
46,9611863833601,False,29 * 59021 * 5615689,9280261361280,9280261361281
47,9280261361281,False,113 * 82126206737,9198135154432,9198135154433
48,9198135154433,False,1507483 * 6101651,9198127545300,9198127545301
49,9198127545301,False,86083 * 106851847,9198020607372,9198020607373
50,9198020607373,False,13 * 23 * 9473 * 3247399,8120469417984,8120469417985
51,8120469417985,False,5 * 1624093883597,6496375534384,6496375534385
52,6496375534385,False,5 * 11 * 118115918807,4724636752240,4724636752241
53,4724636752241,False,7^2 * 96421158209,4049688644736,4049688644737
54,4049688644737,False,741061 * 5464717,4049682438960,4049682438961
55,4049682438961,False,6079 * 666175759,4049016257124,4049016257125
56,4049016257125,False,5^3 * 7 * 73 * 883 * 71789,2735295091200,2735295091201
