F,value,factorization,parent_count
68,6148888817,75503 * 81439,0
69,6149146609,26597 * 231197,1
69,6152490577,1709 * 3600053,1
69,6153664087,1289 * 4773983,1
69,6282560359,47 * 133671497,1
69,6506938829,29 * 47 * 4773983,1
69,12298293218,2 * 26597 * 231197,1
69,12304981154,2 * 1709 * 3600053,1
69,12307328174,2 * 1289 * 4773983,1
69,12565120718,2 * 47 * 133671497,1
69,13013877658,2 * 29 * 47 * 4773983,1
70,6149659793,12277 * 500909,1
70,6164995313,389 * 15848317,1
70,6429424577,23 * 15493 * 18043,1
70,6445943177,23 * 373 * 751363,1
70,6500296093,19 * 683 * 500909,1
70,6662179277,13 * 18043 * 28403,1
70,6665198137,13 * 512707549,1
70,6671352077,13 * 683 * 751363,1
70,9224285277,3 * 18043 * 170413,1
70,9224361777,3 * 15493 * 198463,1
70,9225986277,3 * 4093 * 751363,1
70,9237262869,3^3 * 683 * 500909,1
70,9642979977,3 * 23 * 139753333,1
70,10761981909,3 * 7 * 18043 * 28403,1
70,10766858529,3 * 7 * 512707549,1
70,10776799509,3 * 7 * 683 * 751363,1
70,12299047036,2^2 * 18043 * 170413,1
70,12299149036,2^2 * 15493 * 198463,1
70,12299319586,2 * 12277 * 500909,1
70,12301315036,2^2 * 4093 * 751363,1
70,12329990626,2 * 389 * 15848317,1
70,12857306636,2^2 * 23 * 139753333,1
70,12858849154,2 * 23 * 15493 * 18043,1
70,12891886354,2 * 23 * 373 * 751363,1
70,13000592186,2 * 19 * 683 * 500909,1
70,13324358554,2 * 13 * 18043 * 28403,1
70,13330396274,2 * 13 * 512707549,1
70,13342704154,2 * 13 * 683 * 751363,1
70,14349309212,2^2 * 7 * 18043 * 28403,1
70,14355811372,2^2 * 7 * 512707549,1
70,14369066012,2^2 * 7 * 683 * 751363,1
70,18448570554,2 * 3 * 18043 * 170413,1
70,18448723554,2 * 3 * 15493 * 198463,1
70,18449111844,2^2 * 3^2 * 18043 * 28403,1
70,18451972554,2 * 3 * 4093 * 751363,1
70,18457471764,2^2 * 3^2 * 512707549,1
70,18474513444,2^2 * 3^2 * 683 * 751363,1
70,18474525738,2 * 3^3 * 683 * 500909,1
70,19285959954,2 * 3 * 23 * 139753333,1
70,21523963818,2 * 3 * 7 * 18043 * 28403,1
70,21533717058,2 * 3 * 7 * 512707549,1
70,21553599018,2 * 3 * 7 * 683 * 751363,1
71,6668696999,1907 * 3496957,1
71,6709186423,167 * 1907 * 21067,1
71,10003048359,3 * 1907 * 1748479,1
71,10058025399,3 * 167 * 20075899,1
71,13337393998,2 * 1907 * 3496957,1
71,13337397812,2^2 * 1907 * 1748479,1
71,13410700532,2^2 * 167 * 20075899,1
71,13418372846,2 * 167 * 1907 * 21067,1
71,20006096718,2 * 3 * 1907 * 1748479,1
71,20116050798,2 * 3 * 167 * 20075899,1
