index,n,status,factorization,phi,next
0,6148888817,composite,75503 * 81439,6148731876,6148731877
1,6148731877,composite,53 * 116013809,6032718016,6032718017
2,6032718017,composite,31 * 194603807,5838114180,5838114181
3,5838114181,composite,127 * 45969403,5792144652,5792144653
4,5792144653,composite,89 * 65080277,5727064288,5727064289
5,5727064289,composite,8123 * 705043,5726351124,5726351125
6,5726351125,composite,5^3 * 11 * 971 * 4289,4159360000,4159360001
7,4159360001,composite,967 * 4301303,4155057732,4155057733
8,4155057733,composite,859 * 4837087,4150219788,4150219789
9,4150219789,composite,241 * 383 * 44963,4122116160,4122116161
10,4122116161,composite,5507 * 748523,4121362132,4121362133
11,4121362133,composite,7 * 43 * 13692233,3450442464,3450442465
12,3450442465,composite,5 * 19 * 1283 * 28309,2612941632,2612941633
13,2612941633,composite,17 * 73 * 2105513,2425549824,2425549825
14,2425549825,composite,5^2 * 97021993,1940439840,1940439841
15,1940439841,composite,41 * 47327801,1893112000,1893112001
16,1893112001,composite,11 * 67 * 2568673,1695323520,1695323521
17,1695323521,composite,17 * 99724913,1595598592,1595598593
18,1595598593,composite,761 * 2096713,1593501120,1593501121
19,1593501121,composite,41 * 38865881,1554635200,1554635201
20,1554635201,composite,7^2 * 43 * 737843,1301553288,1301553289
21,1301553289,composite,211 * 6168499,1295384580,1295384581
22,1295384581,composite,17 * 76199093,1219185472,1219185473
23,1219185473,composite,11^2 * 883 * 11411,1106998200,1106998201
24,1106998201,composite,29483 * 37547,1106931172,1106931173
25,1106931173,composite,79 * 307 * 45641,1089335520,1089335521
26,1089335521,composite,2399 * 454079,1088879044,1088879045
27,1088879045,composite,5 * 217775809,871103232,871103233
28,871103233,composite,7^2 * 11 * 13^2 * 73 * 131,613267200,613267201
29,613267201,composite,331 * 1852771,611414100,611414101
30,611414101,composite,79 * 7739419,603674604,603674605
31,603674605,composite,5 * 61 * 1979261,475022400,475022401
32,475022401,composite,7 * 19 * 211 * 16927,383881680,383881681
33,383881681,composite,19 * 20204299,363677364,363677365
34,363677365,composite,5 * 83 * 876331,287436240,287436241
35,287436241,composite,8087 * 35543,287392612,287392613
36,287392613,composite,19 * 23 * 657649,260428608,260428609
37,260428609,composite,7 * 23 * 1617569,213518976,213518977
38,213518977,composite,7 * 30502711,183016260,183016261
39,183016261,composite,47 * 53 * 73471,175740240,175740241
40,175740241,composite,3929 * 44729,175691584,175691585
41,175691585,composite,5 * 443 * 79319,140234224,140234225
42,140234225,composite,5^2 * 5609369,112187360,112187361
43,112187361,composite,3 * 11 * 13 * 261509,62761920,62761921
44,62761921,composite,19 * 3303259,59458644,59458645
45,59458645,composite,5 * 1249 * 9521,47523840,47523841
46,47523841,composite,1931 * 24611,47497300,47497301
47,47497301,composite,31 * 59 * 25969,45184320,45184321
48,45184321,composite,7^2 * 13 * 89 * 797,35304192,35304193
49,35304193,composite,139 * 253987,35050068,35050069
50,35050069,composite,89 * 199 * 1979,34464672,34464673
51,34464673,composite,29 * 59 * 20143,32710608,32710609
52,32710609,composite,19 * 677 * 2543,30931056,30931057
53,30931057,composite,4079 * 7583,30919396,30919397
54,30919397,composite,563 * 54919,30863916,30863917
55,30863917,composite,7 * 29 * 152039,25542384,25542385
56,25542385,composite,5 * 11 * 41 * 47 * 241,17664000,17664001
57,17664001,composite,3793 * 4657,17655552,17655553
58,17655553,composite,89 * 198377,17457088,17457089
59,17457089,composite,13 * 367 * 3659,16065936,16065937
60,16065937,composite,23 * 547 * 1277,15327312,15327313
61,15327313,composite,89 * 172217,15155008,15155009
62,15155009,composite,47 * 89 * 3623,14661856,14661857
63,14661857,composite,7 * 2094551,12567300,12567301
64,12567301,composite,17 * 739253,11828032,11828033
65,11828033,composite,7 * 1689719,10138308,10138309
66,10138309,composite,1609 * 6301,10130400,10130401
67,10130401,composite,19 * 101 * 5279,9500400,9500401
68,9500401,prime,9500401,,
